epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1754.55,0.53914,0.67754,1.2098,0.80747,1,0.96167,0.54972,1.03852,1.81759,1.99435,0.0011684,0.0011684,0.0011684
44,1788.2,0.53522,0.67333,1.16962,0.70743,0.97121,0.85786,0.54705,0.99423,1.92041,1.82324,0.0011486,0.0011486,0.0011486
45,1823.7,0.5296,0.676,1.17101,0.74949,0.8,0.83833,0.49148,0.95727,2.07948,1.65021,0.0011288,0.0011288,0.0011288
46,1864.33,0.46399,0.61441,1.13155,0.93054,0.6,0.81167,0.4572,1.00756,2.32443,1.68559,0.001109,0.001109,0.001109
47,1897.14,0.45223,0.58217,1.08626,0.82247,1,0.92833,0.53803,0.95958,2.06735,1.66633,0.0010892,0.0010892,0.0010892
48,1937.96,0.48389,0.71844,1.16856,0.98352,1,0.995,0.6079,0.89484,1.86833,1.84089,0.0010694,0.0010694,0.0010694
49,1974.81,0.53727,0.68822,1.16597,0.99533,1,0.995,0.54226,1.03651,2.14842,2.03363,0.0010496,0.0010496,0.0010496
50,2007.81,0.45131,0.57713,1.10243,0.98253,0.8,0.895,0.50929,1.32206,1.88928,2.64477,0.0010298,0.0010298,0.0010298
51,2041.21,0.50556,0.6418,1.134,0.83139,0.98835,0.96167,0.45799,1.296,1.72251,2.6804,0.00101,0.00101,0.00101
52,2075.13,0.54905,0.64159,1.20064,0.99702,1,0.995,0.58899,1.13758,1.50651,2.28627,0.0009902,0.0009902,0.0009902
53,2108.3,0.53968,0.64205,1.16216,0.98862,1,0.995,0.62394,1.08762,1.60726,2.05022,0.0009704,0.0009704,0.0009704
54,2144.99,0.53891,0.60671,1.17171,0.99029,1,0.995,0.56482,1.11988,1.70506,2.11077,0.0009506,0.0009506,0.0009506
55,2177.14,0.49319,0.61272,1.17168,0.9931,1,0.995,0.56132,1.15939,1.74551,2.13329,0.0009308,0.0009308,0.0009308
56,2212.82,0.45889,0.54277,1.12727,0.99169,1,0.995,0.59897,1.06778,1.51952,1.90026,0.000911,0.000911,0.000911
57,2244.88,0.47486,0.57666,1.10965,0.98967,1,0.995,0.62242,1.10688,1.38005,2.01041,0.0008912,0.0008912,0.0008912
58,2277.32,0.4605,0.56263,1.11723,0.96846,1,0.995,0.69954,1.02378,1.44733,1.98798,0.0008714,0.0008714,0.0008714
59,2309.8,0.51359,0.62043,1.18463,0.82546,1,0.92833,0.60877,1.05346,1.60586,2.06258,0.0008516,0.0008516,0.0008516
60,2343.61,0.48897,0.57298,1.12713,0.7252,1,0.86167,0.53883,1.09641,1.6674,1.97379,0.0008318,0.0008318,0.0008318
61,2382.93,0.44998,0.56621,1.13865,0.8132,1,0.96167,0.61428,0.98707,1.60019,1.54294,0.000812,0.000812,0.000812
62,2415.71,0.44782,0.55516,1.11215,0.82307,1,0.96167,0.77568,0.88699,1.2372,1.35277,0.0007922,0.0007922,0.0007922
63,2447.48,0.46496,0.53255,1.15047,0.97426,0.8,0.96167,0.65931,1.02574,1.38047,1.41675,0.0007724,0.0007724,0.0007724
64,2479.31,0.47893,0.57689,1.1418,0.98798,1,0.995,0.60894,1.30147,1.41707,1.83893,0.0007526,0.0007526,0.0007526
65,2510.61,0.39409,0.48985,1.04225,0.97071,1,0.995,0.59527,1.18179,1.67973,1.66583,0.0007328,0.0007328,0.0007328
66,2541.86,0.42632,0.50331,1.11957,0.9722,1,0.995,0.60115,1.1819,1.54021,1.69591,0.000713,0.000713,0.000713
67,2575.07,0.43797,0.56502,1.11643,0.98243,1,0.995,0.65588,1.12699,1.32242,1.66678,0.0006932,0.0006932,0.0006932
68,2607.37,0.38354,0.51568,1.0844,0.97244,1,0.995,0.64551,1.09038,1.36047,1.6364,0.0006734,0.0006734,0.0006734
69,2639.82,0.45695,0.52643,1.10642,0.9873,1,0.995,0.66751,1.01954,1.20756,1.56039,0.0006536,0.0006536,0.0006536
70,2673,0.44478,0.49796,1.12136,0.98627,1,0.995,0.75189,0.99551,1.1722,1.50987,0.0006338,0.0006338,0.0006338
71,2704.9,0.45208,0.54314,1.13443,0.99068,1,0.995,0.75201,0.96853,1.1327,1.48326,0.000614,0.000614,0.000614
72,2736.81,0.41525,0.50778,1.08805,0.99063,1,0.995,0.6543,0.96743,1.04352,1.51354,0.0005942,0.0005942,0.0005942
73,2768.35,0.43076,0.48616,1.11904,0.98569,1,0.995,0.65422,1.15963,0.87658,1.96282,0.0005744,0.0005744,0.0005744
74,2800.35,0.41002,0.50225,1.07487,0.96547,1,0.995,0.58749,1.20409,0.99777,2.03733,0.0005546,0.0005546,0.0005546
75,2832.7,0.41999,0.52398,1.09071,0.98438,1,0.995,0.61212,1.18879,1.00101,2.00989,0.0005348,0.0005348,0.0005348
76,2864.19,0.3651,0.46148,1.06635,0.98772,1,0.995,0.64753,1.11512,0.92893,1.93309,0.000515,0.000515,0.000515
77,2895.98,0.35559,0.44368,1.07384,0.98949,1,0.995,0.75259,1.06988,0.84249,1.8654,0.0004952,0.0004952,0.0004952
78,2940.14,0.32572,0.43356,1.0604,0.99293,1,0.995,0.72331,1.00589,0.83197,1.74341,0.0004754,0.0004754,0.0004754
79,2979.09,0.38491,0.49199,1.10071,1,0.94906,0.995,0.77175,0.95205,0.79194,1.6091,0.0004556,0.0004556,0.0004556
80,3012.98,0.43061,0.47784,1.13204,0.98981,1,0.995,0.81522,0.90182,0.84068,1.47097,0.0004358,0.0004358,0.0004358
81,3045.28,0.33869,0.45145,1.03599,0.99018,1,0.995,0.80522,0.82311,0.88752,1.35964,0.000416,0.000416,0.000416
82,3081.84,0.33328,0.39662,1.03179,0.99022,1,0.995,0.80725,0.79384,0.91319,1.30858,0.0003962,0.0003962,0.0003962
83,3139.19,0.3878,0.43578,1.03765,0.99032,1,0.995,0.84857,0.81565,0.85633,1.31117,0.0003764,0.0003764,0.0003764
84,3183.38,0.39604,0.46614,1.09554,0.99019,1,0.995,0.86854,0.80983,0.78495,1.30198,0.0003566,0.0003566,0.0003566
85,3233.4,0.38451,0.46938,1.05947,0.99117,1,0.995,0.86734,0.82227,0.66792,1.31962,0.0003368,0.0003368,0.0003368
86,3277.37,0.35883,0.42845,1.02809,0.99093,1,0.995,0.81843,0.81993,0.65835,1.28233,0.000317,0.000317,0.000317
87,3316.82,0.33983,0.40951,1.03175,0.99101,1,0.995,0.81707,0.81014,0.65904,1.23399,0.0002972,0.0002972,0.0002972
88,3355.64,0.31831,0.5058,1.06451,0.99107,1,0.995,0.78677,0.85185,0.65946,1.24232,0.0002774,0.0002774,0.0002774
89,3394.72,0.41634,0.47502,1.08496,0.99101,1,0.995,0.82616,0.82866,0.66466,1.21597,0.0002576,0.0002576,0.0002576
90,3432.79,0.36126,0.4551,1.06892,0.99109,1,0.995,0.8361,0.8153,0.66444,1.19796,0.0002378,0.0002378,0.0002378
91,3471.02,0.34115,1.01348,1.1957,0.9908,1,0.995,0.83624,0.76555,0.68099,1.14501,0.000218,0.000218,0.000218
92,3512.85,0.36634,0.87092,1.25287,0.99114,1,0.995,0.83635,0.7467,0.66904,1.13094,0.0001982,0.0001982,0.0001982
93,3553.04,0.29395,0.67513,1.10834,0.99111,1,0.995,0.82631,0.74429,0.69992,1.13326,0.0001784,0.0001784,0.0001784
94,3591.65,0.26,0.63129,1.10858,0.99128,1,0.995,0.81618,0.78166,0.80229,1.17344,0.0001586,0.0001586,0.0001586
95,3630.19,0.22418,0.55013,0.98741,0.9913,1,0.995,0.77698,0.81638,0.89923,1.22136,0.0001388,0.0001388,0.0001388
96,3669.57,0.24974,0.55906,1.00128,0.99132,1,0.995,0.7236,0.86609,0.96947,1.27374,0.000119,0.000119,0.000119
97,3708.37,0.23735,0.50589,1.04456,0.99135,1,0.995,0.7176,0.93523,0.94827,1.36412,9.92e-05,9.92e-05,9.92e-05
98,3746.68,0.22449,0.48614,1.03603,0.99146,1,0.995,0.69267,0.93388,0.98956,1.39816,7.94e-05,7.94e-05,7.94e-05
99,3787.66,0.22802,0.48435,1.0665,0.99137,1,0.995,0.66449,0.97441,0.86845,1.5304,5.96e-05,5.96e-05,5.96e-05
100,3825.58,0.23851,0.52132,1.01532,0.99137,1,0.995,0.67951,0.99772,0.79143,1.63577,3.98e-05,3.98e-05,3.98e-05
